iso_code,continent,location,date,total_cases,total_deaths,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_cases_per_million,total_deaths_per_million
IND,Asia,India,2020-12-31,10266674,5598,148738,1380004385,0,0.0,0.0
IND,Asia,India,2021-06-30,30458251,400312,323000000,220000000,103000000,22071.19,290.08
IND,Asia,India,2022-12-31,44683643,530699,2200000000,1020000000,950000000,32379.2,384.56
USA,North America,United States,2020-12-31,20193837,350831,0,0,0,61037.56,1060.81
USA,North America,United States,2021-06-30,33618930,603178,325000000,180000000,155000000,101566.29,1822.87
USA,North America,United States,2022-12-31,100216983,1095436,660000000,270000000,230000000,302770.08,3311.56
BRA,South America,Brazil,2020-12-31,7700578,195411,0,0,0,36226.91,919.38
BRA,South America,Brazil,2021-06-30,18512982,516119,76000000,48000000,30000000,87113.69,2428.0
BRA,South America,Brazil,2022-12-31,36331890,693853,490000000,185000000,170000000,171398.91,3265.9
FRA,Europe,France,2020-12-31,2662624,64568,0,0,0,39400.11,955.82
FRA,Europe,France,2021-06-30,5810846,111960,51000000,34000000,22000000,85988.51,1657.01
FRA,Europe,France,2022-12-31,38000000,159000,150000000,55000000,53000000,56253.34,2352.55
GBR,Europe,United Kingdom,2020-12-31,2466886,73222,0,0,0,36342.01,1078.0
GBR,Europe,United Kingdom,2021-06-30,4830000,128000,79000000,45000000,33000000,71165.98,1885.54
GBR,Europe,United Kingdom,2022-12-31,24600000,210000,150000000,55000000,52000000,36250.0,3093.4
JPN,Asia,Japan,2020-12-31,231000,3421,0,0,0,1826.45,27.05
JPN,Asia,Japan,2021-06-30,800000,14800,45000000,28000000,12000000,6325.47,117.02
JPN,Asia,Japan,2022-12-31,29000000,57000,310000000,105000000,100000000,229290.6,450.28
